Species,value,sample_location_info,sample_lat_DD,sample_long_DD,sample_month
Anopheles quadrimaculatus,2,Braden Pines,27.43889,-82.43865,6
Anopheles quadrimaculatus,3,Palmetto Ball Park,27.531,-82.58235,6
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,6
Anopheles quadrimaculatus,1,Fielding,27.529167,-82.588117,6
Anopheles quadrimaculatus,2,Orbans,27.50312,-82.65739,6
Anopheles quadrimaculatus,1,Palm-Aire,27.406663,-82.504054,6
Anopheles quadrimaculatus,7,Mote Ranch,27.4197,-82.47982,6
Anopheles quadrimaculatus,2,Tallevast,27.4266,-82.52471,6
Anopheles quadrimaculatus,4,Waterline Rd,27.4894,-82.361667,6
Anopheles quadrimaculatus,6,Jamie's Way,27.46357,-82.30379,6
Anopheles quadrimaculatus,4,Gopher Hill,27.40805,-82.260329,6
Anopheles quadrimaculatus,10,Sandy Baptist,27.272953,-82.116503,6
Anopheles quadrimaculatus,7,Lakewood Ranch HS,27.44242,-82.43578,6
Anopheles quadrimaculatus,1,Parrish,27.57505,-82.419667,6
Anopheles quadrimaculatus,1,Frog Creek,27.590917,-82.548,6
Anopheles quadrimaculatus,1,Parrish,27.57505,-82.419667,6
Anopheles quadrimaculatus,1,Frog Creek,27.590917,-82.548,6
Anopheles quadrimaculatus,103,Grassfarm Rd.,27.627967,-82.496833,6
Anopheles quadrimaculatus,21,Port,27.640483,-82.552667,6
Anopheles quadrimaculatus,7,Parrish,27.57505,-82.419667,6
Anopheles quadrimaculatus,5,Parrish,27.57484,-82.419638,6
Anopheles quadrimaculatus,4,French,27.603067,-82.535717,6
Anopheles quadrimaculatus,25,Buffalo Creek Ball Park,27.578355,-82.483695,6
Anopheles quadrimaculatus,3,Mote Ranch,27.4197,-82.47982,7
Anopheles quadrimaculatus,76,Chapman Rd.,27.616367,-82.5353,7
Anopheles quadrimaculatus,11,French,27.603067,-82.535717,7
Anopheles quadrimaculatus,3,Palmetto shop,27.533281,-82.565712,7
Anopheles quadrimaculatus,12,Palm-Aire,27.406663,-82.504054,7
Anopheles quadrimaculatus,43,Mote Ranch,27.4197,-82.47982,7
Anopheles quadrimaculatus,24,Rye Rd,27.484586,-82.40161,7
Anopheles quadrimaculatus,14,Braden Pines,27.43889,-82.43865,7
Anopheles quadrimaculatus,4,Upper Manatee,27.51261,-82.4319,7
Anopheles quadrimaculatus,20,Thousand Oaks,27.564989,-82.480332,7
Anopheles quadrimaculatus,15,Lakewood Ranch HS,27.44242,-82.43578,7
Anopheles quadrimaculatus,220,Grassfarm Rd.,27.627967,-82.496833,7
Anopheles quadrimaculatus,6,Waterline Rd,27.4894,-82.361667,7
Anopheles quadrimaculatus,94,Lakewood Ranch HS,27.44242,-82.43578,7
Anopheles quadrimaculatus,21,Thousand Oaks,27.564989,-82.480332,7
Anopheles quadrimaculatus,2,Colonial Baptist Church,27.475697,-82.613417,7
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,7
Anopheles quadrimaculatus,146,Parrish,27.57505,-82.419667,7
Anopheles quadrimaculatus,25,Parrish,27.57484,-82.419638,7
Anopheles quadrimaculatus,22,Thousand Oaks,27.564989,-82.480332,7
Anopheles quadrimaculatus,8,Parrish/Britt Rd.,27.564967,-82.424886,7
Anopheles quadrimaculatus,8,Palmetto shop,27.533281,-82.565712,7
Anopheles quadrimaculatus,22,Lakewood Ranch,27.419517,-82.4262,7
Anopheles quadrimaculatus,33,Parrish,27.57484,-82.419638,7
Anopheles quadrimaculatus,47,Braden River Park,27.44893,-82.498664,7
Anopheles quadrimaculatus,41,Grassfarm Rd.,27.627967,-82.496833,7
Anopheles quadrimaculatus,12,Erie Rd.,27.574079,-82.5041,7
Anopheles quadrimaculatus,8,Parrish,27.57505,-82.419667,7
Anopheles quadrimaculatus,9,Parrish,27.57484,-82.419638,7
Anopheles quadrimaculatus,1,Parrish/Britt Rd.,27.564967,-82.424886,7
Anopheles quadrimaculatus,14,Parrish,27.57505,-82.419667,7
Anopheles quadrimaculatus,161,Grassfarm Rd.,27.627967,-82.496833,7
Anopheles quadrimaculatus,2,Fielding,27.529167,-82.588117,7
Anopheles quadrimaculatus,3,Highland Shores,27.516317,-82.537735,7
Anopheles quadrimaculatus,12,Palmetto shop,27.533281,-82.565712,7
Anopheles quadrimaculatus,1,Manatee HS,27.48887,-82.59214,7
Anopheles quadrimaculatus,2,Fulwood,27.475085,-82.551283,7
Anopheles quadrimaculatus,2,Mullins,27.439449,-82.548928,7
Anopheles quadrimaculatus,4,Palm-Aire,27.406663,-82.504054,7
Anopheles quadrimaculatus,22,Mote Ranch,27.4197,-82.47982,7
Anopheles quadrimaculatus,9,Lakewood Ranch,27.419517,-82.4262,7
Anopheles quadrimaculatus,12,Soccer Field,27.426485,-82.376623,7
Anopheles quadrimaculatus,5,Rye Rd,27.484586,-82.40161,7
Anopheles quadrimaculatus,18,Braden Pines,27.43889,-82.43865,7
Anopheles quadrimaculatus,2,Waterline Rd,27.4894,-82.361667,7
Anopheles quadrimaculatus,5,Gopher Hill,27.40805,-82.260329,7
Anopheles quadrimaculatus,8,Prichard Rd.,27.639167,-82.417083,7
Anopheles quadrimaculatus,7,Thousand Oaks,27.564989,-82.480332,7
Anopheles quadrimaculatus,61,Keentown,27.570935,-82.137841,7
Anopheles quadrimaculatus,3,Lloyd Park,27.489937,-82.533814,7
Anopheles quadrimaculatus,14,Buffalo Creek Ball Park,27.578355,-82.483695,7
Anopheles quadrimaculatus,51,Grassfarm Rd.,27.627967,-82.496833,7
Anopheles quadrimaculatus,34,Port,27.640483,-82.552667,7
Anopheles quadrimaculatus,1,Apple,27.41218,-82.28757,7
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,6,Parrish/Britt Rd.,27.564967,-82.424886,8
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,1,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,22,Frog Creek,27.590917,-82.548,8
Anopheles quadrimaculatus,5,Palmetto shop,27.533281,-82.565712,8
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,325,Mote Ranch,27.4197,-82.47982,8
Anopheles quadrimaculatus,21,Braden Pines,27.43889,-82.43865,8
Anopheles quadrimaculatus,89,Thousand Oaks,27.564989,-82.480332,8
Anopheles quadrimaculatus,9,Bunker Hill Church,27.591467,-82.19985,8
Anopheles quadrimaculatus,57,Keentown,27.570935,-82.137841,8
Anopheles quadrimaculatus,3,Lloyd Park,27.489937,-82.533814,8
Anopheles quadrimaculatus,24,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,41,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,12,Port,27.640483,-82.552667,8
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,59,Buffalo Creek Ball Park,27.578355,-82.483695,8
Anopheles quadrimaculatus,6,Church,27.600978,-82.529357,8
Anopheles quadrimaculatus,18,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,11,Parrish,27.57505,-82.419667,8
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,5,Parrish,27.57505,-82.419667,8
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,8
Anopheles quadrimaculatus,9,Fielding,27.529167,-82.588117,8
Anopheles quadrimaculatus,3,Palmetto shop,27.533281,-82.565712,8
Anopheles quadrimaculatus,8,Orbans,27.50312,-82.65739,8
Anopheles quadrimaculatus,1,Manatee HS,27.48887,-82.59214,8
Anopheles quadrimaculatus,1,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,6,Palm-Aire,27.406663,-82.504054,8
Anopheles quadrimaculatus,12,Magnolia Manor,27.481256,-82.48042,8
Anopheles quadrimaculatus,6,Rye Rd,27.484586,-82.40161,8
Anopheles quadrimaculatus,104,Braden Pines,27.43889,-82.43865,8
Anopheles quadrimaculatus,11,Upper Manatee,27.51261,-82.4319,8
Anopheles quadrimaculatus,1,Waterline Rd,27.4894,-82.361667,8
Anopheles quadrimaculatus,20,Wauchula Rd.,27.426958,-82.133258,8
Anopheles quadrimaculatus,56,Thousand Oaks,27.564989,-82.480332,8
Anopheles quadrimaculatus,53,Parrish,27.57484,-82.419638,8
Anopheles quadrimaculatus,7,Parrish/Britt Rd.,27.564967,-82.424886,8
Anopheles quadrimaculatus,15,Palmetto Ball Park,27.531,-82.58235,8
Anopheles quadrimaculatus,1,Lloyd Park,27.489937,-82.533814,8
Anopheles quadrimaculatus,30,Buffalo Creek Ball Park,27.578355,-82.483695,8
Anopheles quadrimaculatus,21,Chapman Rd.,27.616367,-82.5353,8
Anopheles quadrimaculatus,4,Church,27.600978,-82.529357,8
Anopheles quadrimaculatus,41,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,26,Frog Creek,27.590917,-82.548,8
Anopheles quadrimaculatus,207,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,13,Waterline Rd,27.4894,-82.361667,8
Anopheles quadrimaculatus,21,Chapman Rd.,27.616367,-82.5353,8
Anopheles quadrimaculatus,26,Church,27.600978,-82.529357,8
Anopheles quadrimaculatus,38,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,4,Waterline Rd,27.4894,-82.361667,8
Anopheles quadrimaculatus,6,Parrish/Britt Rd.,27.564967,-82.424886,8
Anopheles quadrimaculatus,5,Church,27.600978,-82.529357,8
Anopheles quadrimaculatus,11,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,20,Frog Creek,27.590917,-82.548,8
Anopheles quadrimaculatus,204,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,20,Parrish,27.57505,-82.419667,8
Anopheles quadrimaculatus,24,Parrish/Britt Rd.,27.564967,-82.424886,8
Anopheles quadrimaculatus,46,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,2,Fielding,27.529167,-82.588117,8
Anopheles quadrimaculatus,3,Palmetto shop,27.533281,-82.565712,8
Anopheles quadrimaculatus,1,Orbans,27.50312,-82.65739,8
Anopheles quadrimaculatus,1,Palm-Aire,27.406663,-82.504054,8
Anopheles quadrimaculatus,13,Mote Ranch,27.4197,-82.47982,8
Anopheles quadrimaculatus,5,Lakewood Ranch,27.419517,-82.4262,8
Anopheles quadrimaculatus,13,Rye Rd,27.484586,-82.40161,8
Anopheles quadrimaculatus,15,Mossy Hammock,27.286571,-82.23038,8
Anopheles quadrimaculatus,16,Thousand Oaks,27.564989,-82.480332,8
Anopheles quadrimaculatus,8,Parrish,27.57505,-82.419667,8
Anopheles quadrimaculatus,25,Parrish,27.57484,-82.419638,8
Anopheles quadrimaculatus,104,Keentown,27.570935,-82.137841,8
Anopheles quadrimaculatus,66,Lakewood Ranch HS,27.44242,-82.43578,8
Anopheles quadrimaculatus,97,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,308,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,51,Chapman Rd.,27.616367,-82.5353,8
Anopheles quadrimaculatus,48,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,50,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,2,Fulwood,27.475085,-82.551283,8
Anopheles quadrimaculatus,25,Buffalo Creek Ball Park,27.578355,-82.483695,8
Anopheles quadrimaculatus,22,Parrish,27.57484,-82.419638,8
Anopheles quadrimaculatus,14,French,27.603067,-82.535717,8
Anopheles quadrimaculatus,1,Palmetto shop,27.533281,-82.565712,8
Anopheles quadrimaculatus,1,Palm-Aire,27.406663,-82.504054,8
Anopheles quadrimaculatus,10,Mote Ranch,27.4197,-82.47982,8
Anopheles quadrimaculatus,9,Braden Pines,27.43889,-82.43865,8
Anopheles quadrimaculatus,4,Upper Manatee,27.51261,-82.4319,8
Anopheles quadrimaculatus,3,Thousand Oaks,27.564989,-82.480332,8
Anopheles quadrimaculatus,11,Buffalo Creek Ball Park,27.578355,-82.483695,8
Anopheles quadrimaculatus,61,Grassfarm Rd.,27.627967,-82.496833,8
Anopheles quadrimaculatus,4,Parrish/Britt Rd.,27.564967,-82.424886,8
Anopheles quadrimaculatus,29,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,8,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,38,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,2,Fielding,27.529167,-82.588117,9
Anopheles quadrimaculatus,1,Palmetto shop,27.533281,-82.565712,9
Anopheles quadrimaculatus,3,Bolleteries Soccer field,27.447151,-82.62052,9
Anopheles quadrimaculatus,1,Manatee HS,27.48887,-82.59214,9
Anopheles quadrimaculatus,2,Palm-Aire,27.406663,-82.504054,9
Anopheles quadrimaculatus,2,Tallevast,27.4266,-82.52471,9
Anopheles quadrimaculatus,2,Lakewood Ranch,27.419517,-82.4262,9
Anopheles quadrimaculatus,5,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,169,Bradley Rd.,27.60315,-82.098133,9
Anopheles quadrimaculatus,52,Carlton Rd.,27.613375,-82.123478,9
Anopheles quadrimaculatus,7,Keentown,27.570935,-82.137841,9
Anopheles quadrimaculatus,3,Palmetto Ball Park,27.531,-82.58235,9
Anopheles quadrimaculatus,1,Colonial Baptist Church,27.475697,-82.613417,9
Anopheles quadrimaculatus,3,Lloyd Park,27.489937,-82.533814,9
Anopheles quadrimaculatus,14,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,8,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,2,Singletary Rd,27.34712,-82.243525,9
Anopheles quadrimaculatus,34,Chapman Rd.,27.616367,-82.5353,9
Anopheles quadrimaculatus,4,Church,27.600978,-82.529357,9
Anopheles quadrimaculatus,17,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,8,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,6,Highland Shores,27.516317,-82.537735,9
Anopheles quadrimaculatus,1,Orbans,27.50312,-82.65739,9
Anopheles quadrimaculatus,2,Palm-Aire,27.406663,-82.504054,9
Anopheles quadrimaculatus,11,Mote Ranch,27.4197,-82.47982,9
Anopheles quadrimaculatus,1,Rye Rd,27.484586,-82.40161,9
Anopheles quadrimaculatus,1,Upper Manatee,27.51261,-82.4319,9
Anopheles quadrimaculatus,18,Thousand Oaks,27.564989,-82.480332,9
Anopheles quadrimaculatus,9,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,13,Bradley Rd.,27.60315,-82.098133,9
Anopheles quadrimaculatus,262,Carlton Rd.,27.613375,-82.123478,9
Anopheles quadrimaculatus,20,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,3,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,129,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,9,Port,27.640483,-82.552667,9
Anopheles quadrimaculatus,1,Parrish,27.57484,-82.419638,9
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,15,Singletary Rd,27.34712,-82.243525,9
Anopheles quadrimaculatus,7,Church,27.600978,-82.529357,9
Anopheles quadrimaculatus,17,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,39,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,7,Port,27.640483,-82.552667,9
Anopheles quadrimaculatus,2,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,2,Parrish,27.57484,-82.419638,9
Anopheles quadrimaculatus,7,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,83,Chapman Rd.,27.616367,-82.5353,9
Anopheles quadrimaculatus,22,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,8,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,13,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,7,Port,27.640483,-82.552667,9
Anopheles quadrimaculatus,27,Buffalo Creek Ball Park,27.578355,-82.483695,9
Anopheles quadrimaculatus,3,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,2,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,31,Chapman Rd.,27.616367,-82.5353,9
Anopheles quadrimaculatus,3,Church,27.600978,-82.529357,9
Anopheles quadrimaculatus,8,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,13,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,2,Fielding,27.529167,-82.588117,9
Anopheles quadrimaculatus,11,Carrs,27.554018,-82.545481,9
Anopheles quadrimaculatus,4,Palmetto shop,27.533281,-82.565712,9
Anopheles quadrimaculatus,1,Palm-Aire,27.406663,-82.504054,9
Anopheles quadrimaculatus,10,Braden Pines,27.43889,-82.43865,9
Anopheles quadrimaculatus,1,Upper Manatee,27.51261,-82.4319,9
Anopheles quadrimaculatus,23,Race Track,27.474551,-82.324001,9
Anopheles quadrimaculatus,7,Thousand Oaks,27.564989,-82.480332,9
Anopheles quadrimaculatus,27,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,4,Parrish,27.57484,-82.419638,9
Anopheles quadrimaculatus,6,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,2,Braden River Park,27.44893,-82.498664,9
Anopheles quadrimaculatus,11,Lakewood Ranch HS,27.44242,-82.43578,9
Anopheles quadrimaculatus,12,Parrish,27.57484,-82.419638,9
Anopheles quadrimaculatus,4,South 675,27.40779,-82.304,9
Anopheles quadrimaculatus,10,Church,27.600978,-82.529357,9
Anopheles quadrimaculatus,14,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,26,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,87,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,51,Port,27.640483,-82.552667,9
Anopheles quadrimaculatus,19,Parrish,27.57505,-82.419667,9
Anopheles quadrimaculatus,1,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,3,Church,27.600978,-82.529357,9
Anopheles quadrimaculatus,7,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,41,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,5,Fielding,27.529167,-82.588117,9
Anopheles quadrimaculatus,2,Manatee HS,27.48887,-82.59214,9
Anopheles quadrimaculatus,1,Samoset,27.46947,-82.52402,9
Anopheles quadrimaculatus,1,Palm-Aire,27.406663,-82.504054,9
Anopheles quadrimaculatus,3,Mote Ranch,27.4197,-82.47982,9
Anopheles quadrimaculatus,5,Tallevast,27.4266,-82.52471,9
Anopheles quadrimaculatus,13,Lakewood Ranch,27.419517,-82.4262,9
Anopheles quadrimaculatus,10,Prichard Rd.,27.639167,-82.417083,9
Anopheles quadrimaculatus,8,Erie Rd.,27.574079,-82.5041,9
Anopheles quadrimaculatus,2,Thousand Oaks,27.564989,-82.480332,9
Anopheles quadrimaculatus,1,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,2,Bunker Hill Church,27.591467,-82.19985,9
Anopheles quadrimaculatus,1,Lloyd Park,27.489937,-82.533814,9
Anopheles quadrimaculatus,9,Buffalo Creek Ball Park,27.578355,-82.483695,9
Anopheles quadrimaculatus,1,Parrish,27.57484,-82.419638,9
Anopheles quadrimaculatus,2,Braden Pines,27.43889,-82.43865,9
Anopheles quadrimaculatus,4,Church,27.600978,-82.529357,9
Anopheles quadrimaculatus,12,French,27.603067,-82.535717,9
Anopheles quadrimaculatus,3,Parrish,27.57484,-82.419638,9
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,9
Anopheles quadrimaculatus,10,Frog Creek,27.590917,-82.548,9
Anopheles quadrimaculatus,127,Grassfarm Rd.,27.627967,-82.496833,9
Anopheles quadrimaculatus,11,Prichard Rd.,27.639167,-82.417083,9
Anopheles quadrimaculatus,5,Thousand Oaks,27.564989,-82.480332,9
Anopheles quadrimaculatus,13,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,7,Frog Creek,27.590917,-82.548,10
Anopheles quadrimaculatus,36,Port,27.640483,-82.552667,10
Anopheles quadrimaculatus,1,Fielding,27.529167,-82.588117,10
Anopheles quadrimaculatus,4,Highland Shores,27.516317,-82.537735,10
Anopheles quadrimaculatus,2,Palmetto shop,27.533281,-82.565712,10
Anopheles quadrimaculatus,6,Magnolia Manor,27.481256,-82.48042,10
Anopheles quadrimaculatus,2,Lakewood Ranch,27.419517,-82.4262,10
Anopheles quadrimaculatus,12,Parrish,27.57484,-82.419638,10
Anopheles quadrimaculatus,5,Waterline Rd,27.4894,-82.361667,10
Anopheles quadrimaculatus,27,Buffalo Creek Ball Park,27.578355,-82.483695,10
Anopheles quadrimaculatus,6,Parrish,27.57484,-82.419638,10
Anopheles quadrimaculatus,23,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,6,Highland Shores,27.516317,-82.537735,10
Anopheles quadrimaculatus,2,Palmetto shop,27.533281,-82.565712,10
Anopheles quadrimaculatus,2,Orbans,27.50312,-82.65739,10
Anopheles quadrimaculatus,1,St Stephens,27.499288,-82.600544,10
Anopheles quadrimaculatus,4,Tallevast,27.4266,-82.52471,10
Anopheles quadrimaculatus,9,Magnolia Manor,27.481256,-82.48042,10
Anopheles quadrimaculatus,12,Soccer Field,27.426485,-82.376623,10
Anopheles quadrimaculatus,12,Rye Rd,27.484586,-82.40161,10
Anopheles quadrimaculatus,3,Upper Manatee,27.51261,-82.4319,10
Anopheles quadrimaculatus,25,South 675,27.40779,-82.304,10
Anopheles quadrimaculatus,20,Thousand Oaks,27.564989,-82.480332,10
Anopheles quadrimaculatus,9,Parrish/Britt Rd.,27.564967,-82.424886,10
Anopheles quadrimaculatus,2,Bunker Hill Church,27.591467,-82.19985,10
Anopheles quadrimaculatus,6,Braden River Park,27.44893,-82.498664,10
Anopheles quadrimaculatus,19,Buffalo Creek Ball Park,27.578355,-82.483695,10
Anopheles quadrimaculatus,43,Chapman Rd.,27.616367,-82.5353,10
Anopheles quadrimaculatus,24,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,3,Frog Creek,27.590917,-82.548,10
Anopheles quadrimaculatus,19,Buffalo Creek Ball Park,27.578355,-82.483695,10
Anopheles quadrimaculatus,7,Parrish,27.57505,-82.419667,10
Anopheles quadrimaculatus,2,Parrish/Britt Rd.,27.564967,-82.424886,10
Anopheles quadrimaculatus,16,Thousand Oaks,27.564989,-82.480332,10
Anopheles quadrimaculatus,7,Race Track,27.474551,-82.324001,10
Anopheles quadrimaculatus,4,Church,27.600978,-82.529357,10
Anopheles quadrimaculatus,53,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,3,Frog Creek,27.590917,-82.548,10
Anopheles quadrimaculatus,3,Church,27.600978,-82.529357,10
Anopheles quadrimaculatus,13,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,4,Frog Creek,27.590917,-82.548,10
Anopheles quadrimaculatus,60,Port,27.640483,-82.552667,10
Anopheles quadrimaculatus,5,Parrish,27.57505,-82.419667,10
Anopheles quadrimaculatus,6,Parrish/Britt Rd.,27.564967,-82.424886,10
Anopheles quadrimaculatus,1,St Stephens,27.499288,-82.600544,10
Anopheles quadrimaculatus,1,Mullins,27.439449,-82.548928,10
Anopheles quadrimaculatus,7,Magnolia Manor,27.481256,-82.48042,10
Anopheles quadrimaculatus,7,Lakewood Ranch,27.419517,-82.4262,10
Anopheles quadrimaculatus,6,Soccer Field,27.426485,-82.376623,10
Anopheles quadrimaculatus,5,Upper Manatee,27.51261,-82.4319,10
Anopheles quadrimaculatus,14,Apple,27.41218,-82.28757,10
Anopheles quadrimaculatus,12,Race Track,27.474551,-82.324001,10
Anopheles quadrimaculatus,9,Bear Bay Rd.,27.47078,-82.16993,10
Anopheles quadrimaculatus,59,Keentown,27.570935,-82.137841,10
Anopheles quadrimaculatus,2,Lloyd Park,27.489937,-82.533814,10
Anopheles quadrimaculatus,11,Braden River Park,27.44893,-82.498664,10
Anopheles quadrimaculatus,3,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,22,Grassfarm Rd.,27.627967,-82.496833,10
Anopheles quadrimaculatus,3,Parrish/Britt Rd.,27.564967,-82.424886,10
Anopheles quadrimaculatus,4,Church,27.600978,-82.529357,10
Anopheles quadrimaculatus,11,French,27.603067,-82.535717,10
Anopheles quadrimaculatus,12,Erie Rd.,27.574079,-82.5041,10
Anopheles quadrimaculatus,8,Church,27.600978,-82.529357,10
Anopheles quadrimaculatus,25,Grassfarm Rd.,27.627967,-82.496833,10
